title,release_date,rating,director,writer,genres,runtime,original_language,budget,revenue
Ape vs. Mecha Ape,24/03/2023 (US),56,Marc Gottlieb,Marc Gottlieb,"Aksiyon,Bilim-Kurgu",1h 20m,İngilizce,-,-
Love Lies Bleeding,08/03/2024 (US),70,Rose Glass,Rose Glass,"Suç,Romantik,Gerilim",1h 44m,İngilizce,-,"$8,770,948.00"
Breathe,26/04/2024 (US),50,Stefon Bristol,Doug Simon,"Bilim-Kurgu,Gizem,Gerilim",1h 33m,İngilizce,-,-
Maymunlar Cehennemi: Yeni Krallık,10/05/2024 (TR),0,Wes Ball,Josh Friedman,"Bilim-Kurgu,Macera,Aksiyon",2h 25m,İngilizce,-,-
Justice League: Crisis on Infinite Earths Part Two,23/04/2024 (US),65,Jeff Wamester,James Krieg,"Animasyon,Bilim-Kurgu,Aksiyon",1h 34m,İngilizce,-,-
,21/03/2024 (TR),52,Siddharth Anand,,"Aksiyon,Gerilim,Savaş",2h 44m,Hintçe,"$30,069,500.00","$43,160,558.00"
Bar Fedaisi,21/03/2024 (TR),70,Doug Liman,,"Aksiyon,Gerilim",2h 1m,İngilizce,"$85,000,000.00",-
Evrenler Savaşı,20/07/2022 (KR),68,Choi Dong-hoon,Choi Dong-hoon,"Bilim-Kurgu,Aksiyon,Fantastik,Macera",2h 22m,Korece,"$24,500,000.00","$12,600,000.00"
,19/01/2024 (TR),75,Benjamin Renner,,"Animasyon,Aksiyon,Macera,Komedi,Aile",1h 23m,İngilizce,"$72,000,000.00","$296,703,996.00"
Madame Web,16/02/2024 (TR),56,S.J. Clarkson,,"Aksiyon,Fantastik",1h 56m,İngilizce,"$80,000,000.00","$100,298,817.00"
Spitfire Over Berlin,06/09/2022 (US),43,Callum Burn,Callum Burn,"Savaş,Aksiyon,Tarih",1h 20m,İngilizce,-,-
Arthur the King,15/03/2024 (US),68,Simon Cellan Jones,Michael Brandt,"Dram,Macera",1h 47m,İngilizce,"$19,000,000.00","$31,649,885.00"
,12/04/2024 (US),49,Terry McDonough,Gianni Capaldi,"Aksiyon,Suç,Gerilim",1h 38m,İngilizce,-,-
Üç Silahşörler: Milady,13/12/2023 (FR),66,Martin Bourboulon,Matthieu Delaporte,"Macera,Aksiyon,Dram",1h 55m,Fransızca,"$39,000,000.00","$20,888,270.00"
Arınma,26/04/2024 (TR),63,Michael Mohan,,"Korku,Gizem,Gerilim",1h 29m,İngilizce,"$9,000,000.00","$21,956,543.00"
Rebel Moon - Part Two: The Scargiver,19/04/2024 (TR),61,Zack Snyder,,"Bilim-Kurgu,Aksiyon,Dram",2h 3m,İngilizce,"$83,000,000.00",-
Kung Fu Panda 4,05/04/2024 (TR),71,Mike Mitchell,Jonathan Aibel,"Animasyon,Aksiyon,Aile,Komedi,Fantastik",1h 34m,İngilizce,"$85,000,000.00","$503,540,090.00"
Dune: Çöl Gezegeni Bölüm İki,01/03/2024 (TR),82,Denis Villeneuve,,"Bilim-Kurgu,Macera",2h 45m,İngilizce,"$190,000,000.00","$704,300,257.00"
Çıkış Yok,26/01/2024 (TR),64,Claudio Fäh,Andy Mayson,"Aksiyon,Korku,Gerilim",1h 35m,İngilizce,-,-
Godzilla ve Kong: Yeni İmparatorluk,05/04/2024 (TR),65,Adam Wingard,,"Aksiyon,Bilim-Kurgu,Macera",1h 55m,İngilizce,"$150,000,000.00","$522,503,756.00"
,08/03/2019 (TR),68,Anna Boden,,"Aksiyon,Macera,Bilim-Kurgu",2h 7m,İngilizce,"$152,000,000.00","$1,131,416,446.00"
Yıldızlararası,07/11/2014 (TR),84,Christopher Nolan,Christopher Nolan,"Macera,Dram,Bilim-Kurgu",2h 49m,İngilizce,"$165,000,000.00","$701,729,206.00"
